provider,model_slug,model,condition,report_id,status,error,output_dir,duration_seconds
openrouter,qwen,qwen/qwen3-8b,v2-baseline-control,issue19-ra-qwen-v2-baseline-control,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\qwen\v2-baseline-control,0.00
openrouter,qwen,qwen/qwen3-8b,v2-signal-strong-mid,issue19-ra-qwen-v2-signal-strong-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\qwen\v2-signal-strong-mid,0.00
openrouter,qwen,qwen/qwen3-8b,v2-signal-weak-mid,issue19-ra-qwen-v2-signal-weak-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\qwen\v2-signal-weak-mid,0.00
openrouter,qwen,qwen/qwen3-8b,v2-counter-colombia-mid,issue19-ra-qwen-v2-counter-colombia-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\qwen\v2-counter-colombia-mid,0.00
openrouter,qwen,qwen/qwen3-8b,v2-noise-near-mid,issue19-ra-qwen-v2-noise-near-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\qwen\v2-noise-near-mid,0.00
openrouter,qwen,qwen/qwen3-8b,v2-noise-off-mid,issue19-ra-qwen-v2-noise-off-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\qwen\v2-noise-off-mid,0.00
deepinfra,gemma,google/gemma-3-27b-it,v2-baseline-control,issue19-ra-gemma-v2-baseline-control,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\gemma\v2-baseline-control,0.00
deepinfra,gemma,google/gemma-3-27b-it,v2-signal-strong-mid,issue19-ra-gemma-v2-signal-strong-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\gemma\v2-signal-strong-mid,0.00
deepinfra,gemma,google/gemma-3-27b-it,v2-signal-weak-mid,issue19-ra-gemma-v2-signal-weak-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\gemma\v2-signal-weak-mid,0.00
deepinfra,gemma,google/gemma-3-27b-it,v2-counter-colombia-mid,issue19-ra-gemma-v2-counter-colombia-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\gemma\v2-counter-colombia-mid,0.00
deepinfra,gemma,google/gemma-3-27b-it,v2-noise-near-mid,issue19-ra-gemma-v2-noise-near-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\gemma\v2-noise-near-mid,0.00
deepinfra,gemma,google/gemma-3-27b-it,v2-noise-off-mid,issue19-ra-gemma-v2-noise-off-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\gemma\v2-noise-off-mid,0.00
deepinfra,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,v2-baseline-control,issue19-ra-llama-v2-baseline-control,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\llama\v2-baseline-control,0.00
deepinfra,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,v2-signal-strong-mid,issue19-ra-llama-v2-signal-strong-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\llama\v2-signal-strong-mid,0.00
deepinfra,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,v2-signal-weak-mid,issue19-ra-llama-v2-signal-weak-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\llama\v2-signal-weak-mid,0.00
deepinfra,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,v2-counter-colombia-mid,issue19-ra-llama-v2-counter-colombia-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\llama\v2-counter-colombia-mid,0.00
deepinfra,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,v2-noise-near-mid,issue19-ra-llama-v2-noise-near-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\llama\v2-noise-near-mid,0.00
deepinfra,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,v2-noise-off-mid,issue19-ra-llama-v2-noise-off-mid,completed,,C:\Users\joaco\Documents\IA\Year-4\Semestre-1\NLP\MiroFish\backtesting\case-a-s2-positional-noise-v2\evaluation_report_agent\llama\v2-noise-off-mid,0.00
