line,topic,variant,package,condition,rounds,density,status,raw_output_path,committed_output_path,score,max_score,mae,parse_errors,total_tokens,estimated_cost_usd,started_at,completed_at,notes
smoke,ipc,ipc_trimodel_smoke_T0_R2_D2,T0,,2,2,failed,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R2_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R2_D2,,,,,0,,,2026-06-28T05:20:36+00:00,headless_exit=1 report_generate failed: No module named chromadb; raw routing audit had Qwen+Gemma+Llama but telemetry was empty and memory evidence was false
smoke,ipc,ipc_trimodel_smoke_T0_R2_D2,T0,,2,2,failed,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R2_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R2_D2,,,,,0,,,2026-06-28T05:38:18+00:00,headless_exit=1 report_generate failed: ExperimentalMemoryService missing core_memory during first profile-based initialization
smoke,ipc,ipc_trimodel_smoke_T0_R2_D2,T0,,2,2,failed,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R2_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R2_D2,,,,,0,,2026-06-28T05:44:02+00:00,2026-06-28T06:03:22+00:00,"headless_exit=1 report_generate failed: 'NoneType' object has no attribute 'get_all_nodes'; routing audit had Qwen+Gemma+Llama, telemetry empty, memory evidence true, no report/eval"
smoke,ipc,ipc_trimodel_smoke_T0_R2_D2,T0,,2,2,invalidated_post_run,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R2_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R2_D2,2,5,0.1,0,0,0.0,,2026-06-28T06:28:39+00:00,invalidated: exit 0 but run_manifest showed 0 completed rounds/current_round/simulated_hours and llm_telemetry_summary showed 0 llm_calls
smoke,ipc,ipc_trimodel_smoke_T0_R12_D2,T0,,12,2,failed_post_run,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R12_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R12_D2,3,5,0.4,0,47907,0.0,,2026-06-28T07:10:40+00:00,post_run_error=missing required compact evidence: run_manifest.json:no_completed_rounds
smoke,ipc,ipc_trimodel_smoke_T0_R12_D2,T0,,12,2,failed,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R12_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R12_D2,,,,,0,,,2026-06-28T07:10:41+00:00,headless_exit=1
smoke,ipc,ipc_trimodel_smoke_T0_R12_D2,T0,,12,2,failed_post_run,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R12_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R12_D2,0,5,2.1,0,49350,0.0,,2026-06-28T07:32:26+00:00,"post_run_error=missing required compact evidence: llm_telemetry_summary.json:missing_models=google/gemma-3-27b-it,meta-llama/Llama-3.3-70B-Instruct-Turbo, model_routing_audit.jsonl:missing_models=google/gemma-3-27b-it,meta-llama/Llama-3.3-70B-Instruct-Turbo"
smoke,ipc,ipc_trimodel_smoke_T0_R12_D2,T0,,12,2,failed_post_run,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R12_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R12_D2,2,5,0.8,0,36195,0.0,,2026-06-28T07:51:58+00:00,"post_run_error=missing required compact evidence: llm_telemetry_summary.json:missing_models=google/gemma-3-27b-it,meta-llama/Llama-3.3-70B-Instruct-Turbo"
smoke,ipc,ipc_trimodel_smoke_T0_R12_D2,T0,,12,2,completed,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R12_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R12_D2,0,5,,3,78466,0.0,,2026-06-28T08:12:10+00:00,compact_artifacts_copied
smoke,ipc,ipc_trimodel_smoke_T0_R12_D2,T0,,12,2,completed_reprocessed_structured,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R12_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R12_D2,1,5,0.4,0,78466,0.0,,2026-06-28T08:18:18+00:00,structured_answer_json generated from completed smoke artifacts; compact_artifacts_copied; gate_missing=[]
smoke,ipc,ipc_trimodel_smoke_T0_R12_D2,T0,,12,2,completed,runs\ipc_trimodel_multiagent\smoke\ipc_trimodel_smoke_T0_R12_D2,backtesting\ipc-trimodel-multiagent\evaluation\smoke\ipc_trimodel_smoke_T0_R12_D2,1,5,0.9,0,82739,0.0,,2026-06-28T08:40:08+00:00,compact_artifacts_copied
temporal,ipc,ipc_trimodel_T0_R40_D2,T0,,40,2,completed,runs\ipc_trimodel_multiagent\temporal\ipc_trimodel_T0_R40_D2,backtesting\ipc-trimodel-multiagent\evaluation\temporal\ipc_trimodel_T0_R40_D2,1,5,0.4,0,1917733,0.0,,2026-06-28T09:07:31+00:00,compact_artifacts_copied
temporal,ipc,ipc_trimodel_T1_R40_D2,T1,,40,2,completed,runs\ipc_trimodel_multiagent\temporal\ipc_trimodel_T1_R40_D2,backtesting\ipc-trimodel-multiagent\evaluation\temporal\ipc_trimodel_T1_R40_D2,1,5,0.1,0,2777867,0.0,,2026-06-28T09:41:12+00:00,compact_artifacts_copied
temporal,ipc,ipc_trimodel_T2_R40_D2,T2,,40,2,completed,runs\ipc_trimodel_multiagent\temporal\ipc_trimodel_T2_R40_D2,backtesting\ipc-trimodel-multiagent\evaluation\temporal\ipc_trimodel_T2_R40_D2,2,5,0.1,0,2964385,0.0,,2026-06-28T10:52:52+00:00,compact_artifacts_copied
temporal,ipc,ipc_trimodel_T3_R40_D2,T3,,40,2,failed,runs\ipc_trimodel_multiagent\temporal\ipc_trimodel_T3_R40_D2,backtesting\ipc-trimodel-multiagent\evaluation\temporal\ipc_trimodel_T3_R40_D2,,,,,0,,,2026-06-28T11:40:51+00:00,headless_exit=4294967295
temporal,ipc,ipc_trimodel_T3_R40_D2,T3,,40,2,completed,runs\ipc_trimodel_multiagent\temporal\ipc_trimodel_T3_R40_D2,backtesting\ipc-trimodel-multiagent\evaluation\temporal\ipc_trimodel_T3_R40_D2,2,5,0.1,0,4195688,0.0,,2026-06-28T12:38:39+00:00,compact_artifacts_copied
line5,ipc,ipc_trimodel_T3_R10_D2,T3,,10,2,failed_post_run,runs\ipc_trimodel_multiagent\line5\ipc_trimodel_T3_R10_D2,backtesting\ipc-trimodel-multiagent\evaluation\line5\ipc_trimodel_T3_R10_D2,1,5,0.1,0,42025,0.0,,2026-06-28T13:07:12+00:00,"post_run_error=missing required compact evidence: llm_telemetry_summary.json:missing_models=google/gemma-3-27b-it,meta-llama/Llama-3.3-70B-Instruct-Turbo"
line5,ipc,ipc_trimodel_T3_R10_D2,T3,,10,2,completed,runs\ipc_trimodel_multiagent\line5\ipc_trimodel_T3_R10_D2,backtesting\ipc-trimodel-multiagent\evaluation\line5\ipc_trimodel_T3_R10_D2,3,5,0.1,0,50231,0.0,,2026-06-28T14:13:18+00:00,compact_artifacts_copied
line5,ipc,ipc_trimodel_T3_R20_D2,T3,,20,2,completed,runs\ipc_trimodel_multiagent\line5\ipc_trimodel_T3_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\line5\ipc_trimodel_T3_R20_D2,2,5,0.1,0,1101055,0.0,,2026-06-28T14:45:49+00:00,compact_artifacts_copied
line5,ipc,ipc_trimodel_T3_R40_D2,T3,,40,2,completed,runs\ipc_trimodel_multiagent\line5\ipc_trimodel_T3_R40_D2,backtesting\ipc-trimodel-multiagent\evaluation\line5\ipc_trimodel_T3_R40_D2,2,5,0.1,0,3764018,0.0,,2026-06-28T15:26:24+00:00,compact_artifacts_copied
line5,ipc,ipc_trimodel_T3_R80_D2,T3,,80,2,completed,runs\ipc_trimodel_multiagent\line5\ipc_trimodel_T3_R80_D2,backtesting\ipc-trimodel-multiagent\evaluation\line5\ipc_trimodel_T3_R80_D2,1,5,0.1,0,5546655,0.0,,2026-06-28T16:16:29+00:00,compact_artifacts_copied
s3,ipc,ipc_trimodel_s3_baseline-control_R20_D2,s3-ipc-base-context,baseline-control,20,2,failed_post_run,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_baseline-control_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_baseline-control_R20_D2,0,5,2.8,0,15882,0.0,,2026-06-28T16:23:50+00:00,"post_run_error=missing required compact evidence: llm_telemetry_summary.json:missing_models=meta-llama/Llama-3.3-70B-Instruct-Turbo, model_routing_audit.jsonl:missing_models=meta-llama/Llama-3.3-70B-Instruct-Turbo"
s3,ipc,ipc_trimodel_s3_baseline-control_R20_D2,s3-ipc-base-context,baseline-control,20,2,completed,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_baseline-control_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_baseline-control_R20_D2,4,5,1.1,0,213793,0.0,,2026-06-28T16:36:55+00:00,compact_artifacts_copied
s3,ipc,ipc_trimodel_s3_signal-early_R20_D2,s3-ipc-base-context,signal-early,20,2,completed,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_signal-early_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_signal-early_R20_D2,0,5,2.8,0,340493,0.0,,2026-06-28T16:48:58+00:00,compact_artifacts_copied
s3,ipc,ipc_trimodel_s3_signal-mid_R20_D2,s3-ipc-base-context,signal-mid,20,2,completed,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_signal-mid_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_signal-mid_R20_D2,2,5,1.2,0,291433,0.0,,2026-06-28T17:02:23+00:00,compact_artifacts_copied
s3,ipc,ipc_trimodel_s3_signal-late_R20_D2,s3-ipc-base-context,signal-late,20,2,completed,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_signal-late_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_signal-late_R20_D2,1,5,2.8,0,370504,0.0,,2026-06-28T17:15:12+00:00,compact_artifacts_copied
s3,ipc,ipc_trimodel_s3_counter-signal-mid_R20_D2,s3-ipc-base-context,counter-signal-mid,20,2,completed,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_counter-signal-mid_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_counter-signal-mid_R20_D2,0,5,2.8,0,277444,0.0,,2026-06-28T17:26:39+00:00,compact_artifacts_copied
s3,ipc,ipc_trimodel_s3_noise-near-mid_R20_D2,s3-ipc-base-context,noise-near-mid,20,2,completed,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_noise-near-mid_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_noise-near-mid_R20_D2,1,5,1.1,0,295532,0.0,,2026-06-28T17:38:55+00:00,compact_artifacts_copied
s3,ipc,ipc_trimodel_s3_noise-off-mid_R20_D2,s3-ipc-base-context,noise-off-mid,20,2,failed_post_run,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_noise-off-mid_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_noise-off-mid_R20_D2,0,5,2.0,0,31265,0.0,,2026-06-28T17:49:09+00:00,post_run_error=missing required compact evidence: llm_telemetry_summary.json:missing_models=meta-llama/Llama-3.3-70B-Instruct-Turbo
s3,ipc,ipc_trimodel_s3_noise-off-mid_R20_D2,s3-ipc-base-context,noise-off-mid,20,2,completed,runs\ipc_trimodel_multiagent\s3\ipc_trimodel_s3_noise-off-mid_R20_D2,backtesting\ipc-trimodel-multiagent\evaluation\s3\ipc_trimodel_s3_noise-off-mid_R20_D2,0,5,2.8,0,315491,0.0,,2026-06-28T18:04:52+00:00,compact_artifacts_copied
