district_id,district,positive_votes,mesas_escrutadas,electores,votantes
1,CIUDAD AUTÓNOMA DE BUENOS AIRES,1628167,7284,55404140,1732259
2,BUENOS AIRES,8696636,38760,266980280,9013159
3,CATAMARCA,214564,1468,4862214,228847
4,CÓRDOBA,1941359,9262,71742658,2024254
5,CORRIENTES,545624,2807,9514920,567131
6,CHACO,581678,2977,15183135,652681
7,CHUBUT,314718,1450,6305390,337667
8,ENTRE RÍOS,709403,3469,13865772,811650
9,FORMOSA,326933,1512,4917930,334423
10,JUJUY,406729,1806,7236840,424283
11,LA PAMPA,202020,915,3046570,208742
12,LA RIOJA,206067,1322,3718332,214521
13,MENDOZA,1004280,4445,19809231,1061936
14,MISIONES,602703,2929,16105792,626226
15,NEUQUÉN,382678,1747,8140902,435475
16,RÍO NEGRO,380912,1844,7341756,424027
17,SALTA,621605,3361,15638952,710343
18,SAN JUAN,426352,1843,8690976,438937
19,SAN LUIS,257962,1335,4721145,274724
20,SANTA CRUZ,165749,879,3535675,175776
21,SANTA FE,1675665,8423,59846871,1803222
22,SANTIAGO DEL ESTERO,553713,4726,9922644,590626
23,TUCUMÁN,1036114,3975,18777444,1064462
24,TIERRA DEL FUEGO AeIAS,96240,453,1990599,107877
