party,votes,national_percentage
ALIANZA LA LIBERTAD AVANZA,7429104,32.331559
ALIANZA FUERZA PATRIA,3657285,15.916553
LA LIBERTAD AVANZA,1912694,8.324070
FUERZA PATRIA,1751426,7.622229
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,853680,3.715227
ALIANZA PROVINCIAS UNIDAS,762798,3.319707
FRENTE TUCUMÁN PRIMERO,524057,2.280703
PROVINCIAS UNIDAS,326476,1.420828
FRENTE CÍVICO POR SANTIAGO,284387,1.237656
FUERZA JUSTICIALISTA MENDOZA,253109,1.101534
FUERZA ENTRE RÍOS,243884,1.061386
PROPUESTA FEDERAL PARA EL CAMBIO,243326,1.058958
PRIMERO LOS SALTEÑOS,207353,0.902403
FRENTE DE LA VICTORIA,190783,0.830290
VAMOS CORRIENTES,185048,0.805331
RENOVADOR DE LA CONCORDIA NEO,181238,0.788750
DEFENDAMOS CÓRDOBA,169951,0.739629
FUERZA SAN JUAN,146856,0.639119
POR SAN JUAN,132286,0.575710
ALIANZA POTENCIA,127281,0.553929
PARTIDO LIBERTARIO,125847,0.547688
LA NEUQUINIDAD,120772,0.525601
PARTIDO NUEVO BUENOS AIRES,116670,0.507749
FRENTE FUERZA PATRIA PERONISTA,115698,0.503519
FRENTE PATRIOTA FEDERAL,113812,0.495311
UNIÓN CÍVICA RADICAL,111832,0.486694
JUNTOS DEFENDEMOS RÍO NEGRO,99716,0.433965
CIUDADANOS UNIDOS,97794,0.425601
FRENTE DEFENDEMOS LA PAMPA,90097,0.392103
FEDERALES DEFENDAMOS LA RIOJA,89789,0.390763
FRENTE UNIDOS PODEMOS,87628,0.381358
FRENTE JUSTICIALISTA,86211,0.375191
COALICIÓN CÍVICA - A.R.I.,84454,0.367545
UNIDOS POR TUCUMÁN,83926,0.365247
FRENTE JUJUY CRECE,81454,0.354489
FRENTE VERDE,80148,0.348805
ALIANZA UNIÓN FEDERAL,78125,0.340001
FRENTE FUERZA PATRIA,63112,0.274664
DESPIERTA CHUBUT,63056,0.274421
FRENTE PRIMERO JUJUY AVANZA,61539,0.267819
DESPIERTA SANTIAGO,57627,0.250793
FRENTE LIBERTARIO DEMÓCRATA,54193,0.235849
MOVIMIENTO AVANZADA SOCIALISTA,54141,0.235622
FRENTE AMPLIO POR LA SOBERANIA,53267,0.231819
FUERZA SANTACRUCEÑA,53215,0.231592
MOVIMIENTO POLÍTICO SOCIAL Y CULTURAL PROYECTO SUR,52563,0.228755
FRENTE POPULAR AGRARIO Y SOCIAL,50428,0.219463
ALIANZA NUEVOS AIRES,45550,0.198234
UNIÓN LIBERAL,43339,0.188612
PARTIDO DE LA VICTORIA,40602,0.176700
MOVIMIENTO AL SOCIALISMO,38472,0.167431
PARTIDO FE,36079,0.157016
PRO - PROPUESTA REPUBLICANA,34757,0.151263
LA FUERZA DEL TRABAJO CHUBUTENSE,34186,0.148778
ALIANZA ENCUENTRO POR LA REPÚBLICA,31654,0.137759
HAGAMOS FUTURO,29877,0.130025
